portfolio,creditorName
ASATEX (Citibank),MERCURIUS
ASI,MERCURIUS
ASI II,MERCURIUS
ASI III,MERCURIUS
ASI IV,MERCURIUS
ASI V,MERCURIUS
ASI VI,MERCURIUS
ASI VII,MERCURIUS
ASI VIII,MERCURIUS
BBVA,MERCURIUS
BBVA |X,MERCURIUS
BBVA III,MERCURIUS
BBVA IV,MERCURIUS
BBVA V,MERCURIUS
BBVA VI,MERCURIUS
BBVA VII,MERCURIUS
BBVA VIII,MERCURIUS
BBVA X,MERCURIUS
BBVA XI,MERCURIUS
BBVA XII,MERCURIUS
BBVA XIII,MERCURIUS
BBVA XIV,MERCURIUS
BBVA XVII,MERCURIUS
CASH,MERCURIUS
CICLOCUOTAS,MERCURIUS
CICLOCUOTAS II,MERCURIUS
CICLOCUOTAS III,MERCURIUS
CICLOCUOTAS IV,MERCURIUS
CICLOCUOTAS V,MERCURIUS
CITIBANK,MERCURIUS
CLARO,MERCURIUS
CLARO II,MERCURIUS
CLARO III,MERCURIUS
CLARO IV,MERCURIUS
CLARO VI,MERCURIUS
CLARO V-X,MERCURIUS
CLARO V-Y,MERCURIUS
CLARO V-Z,MERCURIUS
CNARANJA |X,MERCURIUS
CNARANJA VI,MERCURIUS
CNARANJA VII,MERCURIUS
CNARANJA VIII,MERCURIUS
CNARANJA X,MERCURIUS
CREDILIT,MERCURIUS
CREDILIT II,MERCURIUS
CREDIPLUS,MERCURIUS
CREDISOL |X,MERCURIUS
CREDISOL VI,MERCURIUS
CREDISOL VII,MERCURIUS
CREDISOL VIII,MERCURIUS
CREDITEL,MERCURIUS
CREDITEL |X,MERCURIUS
CREDITEL II,MERCURIUS
CREDITEL III,MERCURIUS
CREDITEL IV,MERCURIUS
CREDITEL V,MERCURIUS
CREDITEL VI,MERCURIUS
CREDITEL VII,MERCURIUS
CREDITEL VIII,MERCURIUS
CREDITEL X,MERCURIUS
CREDITEL XI,MERCURIUS
CREDITEL XII,MERCURIUS
CREDITEL XIII,MERCURIUS
CREDITEL XIV,MERCURIUS
CREDITO YA X,MERCURIUS
CREDITO YA Z,MERCURIUS
DILUSSO,MERCURIUS
DILUSSO II,MERCURIUS
DILUSSO III,MERCURIUS
ECOCREDIT,MERCURIUS
ECOCREDIT II,MERCURIUS
ECOCREDIT III,MERCURIUS
EN LA MANO,MERCURIUS
FINANZIA,MERCURIUS
FINANZIA II,MERCURIUS
FINANZIA III,MERCURIUS
FINUY,MERCURIUS
ITALCRED,MERCURIUS
ITALCRED II,MERCURIUS
ITALCRED III,MERCURIUS
ITALCRED IV,MERCURIUS
ITALCRED V,MERCURIUS
ITALMUNDO |X,MERCURIUS
ITALMUNDO VI,MERCURIUS
ITALMUNDO VII,MERCURIUS
ITALMUNDO VIII,MERCURIUS
ITAU,MERCURIUS
ITAU II,MERCURIUS
ITAU III,MERCURIUS
ITAU IV,MERCURIUS
ITAU V,MERCURIUS
MEGACREDITOS,MERCURIUS
MICROFIN,MERCURIUS
MICROFIN III,MERCURIUS
MICROFIN IV (VENCIDO),MERCURIUS
MILA,MERCURIUS
OCA EMBARGADOS,MERCURIUS
OCA II,MERCURIUS
OCA III,MERCURIUS
OCA IV,MERCURIUS
OCA X,MERCURIUS
OCA Y,MERCURIUS
OCA Z,MERCURIUS
PAIGO,MERCURIUS
PAIGO II,MERCURIUS
PAIGO III,MERCURIUS
PAIGO IV,MERCURIUS
PAIGO V,MERCURIUS
PROMOTORA,MERCURIUS
PROMOTORA II,MERCURIUS
PROMOTORA III,MERCURIUS
PROMOTORA IV,MERCURIUS
PROMOTORA V,MERCURIUS
PRONTO!,MERCURIUS
PRONTO! |X,MERCURIUS
PRONTO! II,MERCURIUS
PRONTO! III,MERCURIUS
PRONTO! IV,MERCURIUS
PRONTO! V,MERCURIUS
PRONTO! VI,MERCURIUS
PRONTO! VII,MERCURIUS
PRONTO! VIII,MERCURIUS
PRONTO! XI,MERCURIUS
PRONTO! XIII,MERCURIUS
RETOP,MERCURIUS
RETOP II,MERCURIUS
RETOP III,MERCURIUS
RETOP IV,MERCURIUS
RETOP V,MERCURIUS
RETOP VI,MERCURIUS
RETOP VII,MERCURIUS
RETOP VIII,MERCURIUS
SANTANDER,MERCURIUS
SANTANDER |X,MERCURIUS
SANTANDER A-XVI,MERCURIUS
SANTANDER B-XVI,MERCURIUS
SANTANDER C-XVI,MERCURIUS
SANTANDER II,MERCURIUS
SANTANDER III,MERCURIUS
SANTANDER IV,MERCURIUS
SANTANDER V,MERCURIUS
SANTANDER VI,MERCURIUS
SANTANDER VII,MERCURIUS
SANTANDER VIII,MERCURIUS
SANTANDER X,MERCURIUS
SANTANDER X|X Z,MERCURIUS
SANTANDER XI,MERCURIUS
SANTANDER XII,MERCURIUS
SANTANDER XIII,MERCURIUS
SANTANDER XIV,MERCURIUS
SANTANDER XV,MERCURIUS
SANTANDER XVII,MERCURIUS
SANTANDER XVIII,MERCURIUS
SUMEC,MERCURIUS
TUTASA,MERCURIUS
VALOR,MERCURIUS
VALOR |X,MERCURIUS
VALOR II,MERCURIUS
VALOR III,MERCURIUS
VALOR IV,MERCURIUS
VALOR V,MERCURIUS
VALOR VI,MERCURIUS
VALOR VII,MERCURIUS
VALOR VIII,MERCURIUS
WENANCE,MERCURIUS
Credisol,Floder
Credito Uruguayo,Floder
Prextamo,Floder
Pym,Floder
UinUin,Floder
BBVA,Creditia
C.DELACASA,Creditia
CREDITEL,Creditia
LCC UY,Creditia
NBC DIRECTO,Creditia
NBC PRONTO,Creditia
NBC_Directo,Creditia
NBC_Pronto,Creditia
PAIGO,Creditia
PRESTAMOS EN LA MANO,Creditia
PRONTO,Creditia
SANTANDER,Creditia
VALOR,Creditia
